Source Name,Req Core,Req GHz,Req Mem GB,Req OS,price-model,Req Disk GB,Req IOPs,Req MBps,Req BU Day,Instance Type,OS,Pricing Model,vCPUs,Mem GB,EC2 Hourly,EC2 Monthly,EBS GB,EBS Type,EBS Monthly,BU GB,BU Monthly,Total Monthly
VM Source 01,1,,0.5,Linux,on-demand,200.0,3000,125,7.0,t4g.nano,Linux,on-demand,2,0.5,0.0053,3.8689999999999998,200.0,GP3,19.2,214.0,10.700000000000001,33.769
VM Source 02,1,,0.5,Windows,RI-1Y-NUF,0.5,100,250,7.0,t3a.nano,Windows,RI-1Y-NUF,2,0.5,0.0083,6.059,0.5,GP3,6.048,0.535,0.026750000000000003,12.13375
VM Source 03,2,2.2,4.0,Windows,RI-1Y-PUF,1000.0,100000,1000,7.0,r5b.16xlarge,Windows,RI-1Y-PUF,64,512.0,6.361621917808219,4643.984,1000.0,IO2,7337.999999999999,1070.0,53.5,12035.484
VM Source 04,3,,6.0,RHEL,RI-1Y-AUF,200.0,3000,750,7.0,c6gn.xlarge,RHEL,RI-1Y-AUF,4,8.0,0.176598173515981,128.91666666666615,200.0,GP3,49.2,214.0,10.700000000000001,188.81666666666615
VM Source 05,4,2.1,4.0,SLES,RI-3Y-NUF,20000.0,3000,1000,7.0,c6i.xlarge,SLES,RI-3Y-NUF,4,8.0,0.13391,97.7543,20000.0,IO2,2976.0000000000005,21400.0,1070.0,4143.7543000000005
VM Source 06,1,,4.0,Windows,RI-3Y-PUF,100.0,256000,125,14.0,r5b.metal,Windows,RI-3Y-PUF,96,768.0,7.6798202861491625,5606.268808888889,100.0,IO2,18445.8,114.00000000000001,5.700000000000001,24057.76880888889
VM Source 07,2,,6.0,Linux,RI-3Y-AUF,200.0,10,10,14.0,t4g.large,Linux,RI-3Y-AUF,2,8.0,0.031316590563165,22.86111111111045,200.0,GP3,19.2,228.00000000000003,11.400000000000002,53.461111111110455
VM Source 08,4,,8.0,Linux,RIC-1Y-NUF,0.5,10000,1000,14.0,c6i.xlarge,Linux,RIC-1Y-NUF,4,8.0,0.14877,108.60210000000001,0.5,GP3,84.048,0.5700000000000001,0.0285,192.67860000000002
VM Source 09,2,,10.0,RHEL HA,RIC-1Y-PUF,0.0,0,0,14.0,r6g.large,RHEL HA,RIC-1Y-PUF,2,16.0,0.17558538812785301,128.1773333333327,0.0,GP3,0.0,0.0,0.0,128.1773333333327
VM Source 10,24,,1024.0,SLES,RIC-1Y-AUF,1500.0,100,1000,14.0,r6i.metal,SLES,RIC-1Y-AUF,128,1024.0,6.638013698630137,4845.75,1500.0,GP3,186.0,1710.0000000000002,85.50000000000001,5117.25
VM Source 11,32,,2048.0,Windows,RIC-3Y-NUF,20000.0,3000,1000,30.0,x2iedn.16xlarge,Windows,RIC-3Y-NUF,64,2048.0,10.40112,7592.8176,20000.0,IO2,2976.0000000000005,26000.0,1300.0,11868.8176
VM Source 12,64,,2500.0,Windows,RIC-3Y-PUF,100.0,256000,100,30.0,x2iedn.metal,Windows,RIC-3Y-PUF,128,4096.0,19.69748429223744,14379.163533333332,100.0,IO2,18445.8,130.0,6.5,32831.46353333333
VM Source 13,100,,3000.0,SLES,RIC-3Y-AUF,20000.0,1000,50,30.0,u-3tb1.56xlarge,SLES,RIC-3Y-AUF,224,3072.0,11.574885844748858,8449.666666666666,20000.0,IO2,2832.0000000000005,26000.0,1300.0,12581.666666666666
Total,240,,8615.0,,,63301.0,635210,6410,,,,,724,11569.0,63.03272619178082,46013.89012,63301.0,,53377.296,77081.105,3854.0552500000003,103245.24136999999
