Source Name,core,ghz,memory,os,price-model,Instance Type,OS,Pricing Model,vCPUs,Memory,Hourly Pricing,Monthly Pricing
VM Source 01,1,,0.5,Linux,on-demand,t4g.nano,Linux,on-demand,2,0.5,0.0053,3.869
VM Source 02,1,,0.5,Windows,RI-1Y-NUF,t2.nano,Windows,RI-1Y-NUF,1,0.5,0.0068,4.9639999999999995
VM Source 03,2,2.2,4,Windows,RI-1Y-PUF,t3a.medium,Windows,RI-1Y-PUF,2,4.0,0.046588,34.00924
VM Source 04,3,,6,RHEL,RI-1Y-AUF,a1.xlarge,RHEL,RI-1Y-AUF,4,8.0,0.12911,94.2503
VM Source 05,4,2.1,4,SLES,RI-3Y-NUF,a1.xlarge,SLES,RI-3Y-NUF,4,8.0,0.0958,69.934
VM Source 06,1,,4,Windows,RI-3Y-PUF,t3a.medium,Windows,RI-3Y-PUF,2,4.0,0.036955,26.97715
VM Source 07,2,,6,Linux,RI-3Y-AUF,t4g.large,Linux,RI-3Y-AUF,2,8.0,0.031317,22.86141
VM Source 08,4,,8,Linux,RIC-1Y-NUF,a1.xlarge,Linux,RIC-1Y-NUF,4,8.0,0.0914,66.722
VM Source 09,2,,10,RHEL,RIC-1Y-PUF,r6gd.large,RHEL,RIC-1Y-PUF,2,16.0,0.155945,113.83985
VM Source 10,24,,1024,SLES,RIC-1Y-AUF,r6i.32xlarge,SLES,RIC-1Y-AUF,128,1024.0,6.638014,4845.75022
VM Source 11,32,,2048,Windows,RIC-3Y-NUF,x2iedn.16xlarge,Windows,RIC-3Y-NUF,64,2048.0,10.40112,7592.8176
VM Source 12,64,,2500,Windows,RIC-3Y-PUF,x2iedn.24xlarge,Windows,RIC-3Y-PUF,96,3072.0,14.773118,10784.37614
VM Source 13,100,,3000,SLES,RIC-3Y-AUF,x1e.32xlarge,SLES,RIC-3Y-AUF,128,3904.0,13.00468,9493.4164
Total,439,10105.0,45.416147,33153.78731
